Region,Mean Dice,Mean HD95,Std Dice
WT,0.8943963260222386,7.649052959301358,0.11835282819604162
TC,0.8864964565271252,11.56546652431195,0.18083138095572718
ET,0.8582855417306047,9.846507634649184,0.15656373228333167
